Work ID,Title,Authors,First Publish Year,Edition ID,Edition Count,Bookshelf,My Ratings,Ratings Average,Ratings Count,Has Ebook,Subjects,Subject People,Subject Places,Subject Times
OL679358W,"Coraline","[Neil Gaiman](https://openlibrary.org/authors/OL53305A/Neil_Gaiman)",2002,,78,Already Read,,4.04,156,True,"Fantasy and Paranormal fiction and Juvenile fiction and Graphic novels and Children's literature and Fiction and Hugo Award Winner and Supernatural and award:hugo_award=novella and Horror stories and award:hugo_award=2003 and Comic books, strips and Horror tales and Supernatural -- Juvenile fiction and Young adult fiction and Blind and Books and reading and Young adult literature and Fantasy fiction and Horror fiction and Children's fiction and Supernatural, fiction and Large type books and Children's stories and Littérature fantastique américaine and Comics & graphic novels, horror and Tweens and Children's Books/Ages 9-12 Fiction","Coraline","London and London (England)",""
OL2163638W,"Mostly Harmless","[Douglas Adams](https://openlibrary.org/authors/OL272947A/Douglas_Adams)",1991,,52,Already Read,,4.08,64,True,"Ford Prefect (Fictitious character) and Arthur Dent (Fictitious character) and Interplanetary voyages and Fiction and English literature and New York Times reviewed and Humorous stories and Fantasy and Science fiction and Fantastic fiction and Fiction, science fiction, general and Prefect, ford (fictitious character), fiction and Dent, arthur (fictitious character), fiction and Fiction, humorous, general and Large type books and Voyages, imaginary","Ford Prefect and Arthur Dent (Fictitious character)","",""
OL2163655W,"The Restaurant at the End of the Universe","[Douglas Adams](https://openlibrary.org/authors/OL272947A/Douglas_Adams)",1980,,89,Already Read,,4.29,31,True,"Fiction and Humorous fiction and humorous stories and Interplanetary voyages and Restaurants and Science Fiction and Interstellar travel and Life on other planets and Prefect, ford (fictitious character), fiction and Dent, arthur (fictitious character), fiction and Fiction, humorous and Fiction, science fiction, general and English literature and English Science fiction and 18.05 English literature and Fiction, humorous, general and Arthur Dent (Fictitious character) and Ford Prefect (Fictitious character)","Arthur Dent and Ford Prefect and Zaphod Beeblebrox and Tricia McMilan and the Vogons and Trillian and Arthur Dent (Fictitious character)","Milliways",""
OL2163719W,"So long, and thanks for all the fish","[Douglas Adams](https://openlibrary.org/authors/OL272947A/Douglas_Adams)",1984,,73,Already Read,,3.94,70,True,"Trilogy of Four and fantasy fiction and Fiction and Interplanetary voyages and Science Fiction and Ford Prefect (Fictitious character) and Arthur Dent (Fictitious character) and Belletristische Darstellung and Weltall and English literature and Fiction, science fiction, general and Fiction, humorous, general and Dent, arthur (fictitious character), fiction and Prefect, ford (fictitious character), fiction and Interstellar travel","Arthur Dent and Ford Prefect","Earth and London and Islington",""
OL2163623W,"Life, the Universe and Everything","[Douglas Adams](https://openlibrary.org/authors/OL272947A/Douglas_Adams)",1900,,64,Already Read,,4.17,101,True,"sofas and xenophobia and bird language and paradoxes and Infinite Improbability Drive and Heart of Gold and reverse engineering and The Ashes and Wikkit Gate and Trilogy of Five and Fiction and Interplanetary voyages and Fantasy and Science Fiction and space-time eddy and Anachronism and Ford Prefect (Fictitious character) and Arthur Dent (Fictitious character) and Interstellar travel and Fiction, humorous and Fiction, science fiction, general and Dent, arthur (fictitious character), fiction and Prefect, ford (fictitious character), fiction and English literature and Dent, Arthur (Fictitious character) Fiction and Prefect, Ford (Fictitious character) Fiction and Fiction, humorous, general","Ford Prefect and Arthur Dent and Slartibartfast and Trillian and Zaphod Beeblebrox and Vogons and Agrajag and Marvin the Paranoid Android and Hactar","Earth and Lord's Cricket Ground and Krikkit and Stavromula Beta",""
OL2163649W,"The Hitch Hiker's Guide to the Galaxy","[Douglas Adams](https://openlibrary.org/authors/OL272947A/Douglas_Adams)",1979,,116,Already Read,,4.51,121,True,"comic science fiction and Vogons and Humorous fiction and Imaginary voyages and wit and humour and Science Fiction and Interstellar travel and Fiction and Interplanetary voyages and Open Library Staff Picks and Life on other planets and Ford Prefect (Fictitious character) and Arthur Dent (Fictitious character) and Humorous stories and Viajes interplanetarios and Ficción and Language readers and Reading Level-Grade 11 and Reading Level-Grade 12 and Radio plays and English literature and Fiction, science fiction, general and Fiction, humorous and Dent, arthur (fictitious character), fiction and Prefect, ford (fictitious character), fiction and Fiction, science fiction, action & adventure and Christian life and Indians of North America and Science-fiction and Fiction, humorous, general and New age movement and Fiction, action & adventure and English language and Adventure and Humorous and Action & adventure and General and Space opera and English & college success -> english -> fiction and English & college success -> english -> humor","Ford Prefect and Arthur Dent and Zaphod Beeblebrox and Marvin and Trisha MacMillan and Slartibartfast and Deep Thought","Galaxy and Earth and Heart of Gold and Magrathea and The Restaurant at the End of the Universe",""
OL110962W,"Libro de los seres imaginarios","[Jorge Luis Borges](https://openlibrary.org/authors/OL18928A/Jorge_Luis_Borges)",1967,,40,Already Read,,4.33,9,True,"Animals, Mythical and Mythical Animals","","",""
OL17546562W,"The Green Leopard Plague","[Walter Jon Williams](https://openlibrary.org/authors/OL19039A/Walter_Jon_Williams)",2010,,1,Already Read,,,,True,"American Science fiction and American Short stories and Fiction, science fiction, collections & anthologies","","",""
OL59812W,"Tales from Earthsea","[Ursula K. Le Guin](https://openlibrary.org/authors/OL31353A/Ursula_K._Le_Guin)",1991,,27,Want to Read,,3.95,19,True,"Fantasy and Ged (Fictitious character) and Magic and Wizards and Fiction and Juvenile fiction and Ged (fictitious character), fiction and Fiction, fantasy, general and Children's fiction and Fantasy fiction and Magic, fiction and Wizards, fiction and Short stories and American Fantasy fiction and American Short stories and Earthsea (Imaginary place) and Magos and Magia and Cuentos and Novela fantástica estadounidense and Ficción and Fiction, fantasy, collections & anthologies and Fiction, short stories (single author) and Earthsea (imaginary place), fiction","","",""
OL59806W,"The Other Wind","[Ursula K. Le Guin](https://openlibrary.org/authors/OL31353A/Ursula_K._Le_Guin)",2001,,28,Already Read,,3.85,13,True,"Fiction, fantasy, general and Earthsea (imaginary place), fiction and Magic and Wizards and Magic in fiction and Fiction and Ged (Fictitious character) and Earthsea (Imaginary place) and Wizards in fiction and American Fantasy fiction and Juvenile fiction and Fantasy fiction","","",""
OL59861W,"The Wind's Twelve Quarters","[Ursula K. Le Guin](https://openlibrary.org/authors/OL31353A/Ursula_K._Le_Guin)",1975,,29,Want to Read,,4.00,6,True,"American Science fiction and English Short stories and Short stories and Fiction, short stories (single author) and Fiction, science fiction, general and English Shortstories and Fiction, science fiction, collections & anthologies and Science fiction, american and Ps3562.e42 w56 2004 and 813/.54","[Ursula K. Le Guin](https://openlibrary.org/authors/OL31353A/Ursula_K._Le_Guin) (1929-2018)","Earthsea","alternate time and space"
OL59863W,"The Dispossessed","[Ursula K. Le Guin](https://openlibrary.org/authors/OL31353A/Ursula_K._Le_Guin)",1974,,58,Want to Read,,4.39,31,True,"Anarchism and Anarquismo and Ciencia-ficción and Communal living and Ficción and Fiction and Fiction in English and Físicos and Hugo Award Winner and Life on other planets and Novela utópica and Physicists and Science fiction and Utopias and Vida comunal and Vida en otros planets and award:hugo_award=1975 and award:hugo_award=novel and Long Now Manual for Civilization and Fiction, science fiction, general and American Science fiction and Interplanetary voyages and American literature and award:nebula_award=novel and Fiction in english and Hugo award winner and Award:hugo_award=1975 and Award:hugo_award=novel and Long now manual for civilization and American science fiction","","",""
OL20102714W,"Tehanu","[Ursula K. Le Guin](https://openlibrary.org/authors/OL31353A/Ursula_K._Le_Guin)",1990,,28,Already Read,,4.11,9,True,"award:nebula_award=novel and Ged (fictitious character), fiction and Fiction, fantasy, general and Ged (Fictitious character) and Fiction and Magic and Wizards","","",""
OL59855W,"The Farthest Shore","[Ursula K. Le Guin](https://openlibrary.org/authors/OL31353A/Ursula_K._Le_Guin)",1972,,58,Already Read,,3.92,39,True,"Magic and Magia and Fantasy fiction and Fiction in English and Fiction and Fantasy and Wizards and Children's stories and Ficción and Large type books and American Science fiction and Juvenile fiction and Fiction, fantasy, general and Ged (fictitious character), fiction and Children's fiction and Magic, fiction and Ged (Fictitious character) and American Fantasy fiction and Imaginary places and Wizards, fiction","","",""
OL59801W,"The Tombs of Atuan","[Ursula K. Le Guin](https://openlibrary.org/authors/OL31353A/Ursula_K._Le_Guin)",1971,,65,Already Read,,3.96,48,True,"Magic and Novela fantástica estadounidense and Magic in fiction and Fiction and Fantasy and Wizards and American Fantasy fiction and Children's stories and Wizards in fiction and Magic -- Fiction and Wizards -- Fiction and Fantasy fiction and Newbery Honor and Fiction, general and Large type books and Women priests and Juvenile fiction and Thieves and Tombs and Adventure stories and Young adult fiction and Fantastic fiction and Children's Books - Young Adult Fiction and Children: Young Adult (Gr. 10-12) and Science Fiction, Fantasy, & Magic and Juvenile Fiction / Science Fiction, Fantasy, Magic and Children's fiction and Ged (Fictitious character) and Ged (Fictional character) and Hiding places and Earthsea (Imaginary place) and Fiction, science fiction, general and Fiction, fantasy, general","","",""
OL59798W,"A Wizard of Earthsea","[Ursula K. Le Guin](https://openlibrary.org/authors/OL31353A/Ursula_K._Le_Guin)",1968,,73,Already Read,,3.98,107,True,"Fiction and Magic and Magic in fiction and Fantasy and Wizards and Wizards in fiction and Bk. 1. and Earthsea (Le Guin, Ursula K.) and Juvenile fiction and Children's fiction and Magic, fiction and Science fiction and Fantasy fiction and Fiction, fantasy, general and Margaret A. Edwards Award and Earthsea (Imaginary place) and Fantastic fiction and Ged (fictitious character), fiction and Children's stories","","Earthsea",""
OL27516W,"The Return of the King","[J.R.R. Tolkien](https://openlibrary.org/authors/OL26320A/J.R.R._Tolkien)",1950,,192,Already Read,,4.33,79,True,"Elves and Hobbits and The Lord of the Rings and hope and fear and magic and Fiction and Fantasy and English Fantasy fiction and Juvenile fiction and Fantastic fiction and Textual Criticism and Middle Earth (Imaginary place) and Chinese language materials and Adventure and Fantasy fiction and Frodo Baggins (Fictional character) and Frodo Baggins (Fictitious character) and Fiction, fantasy, epic and Middle earth (imaginary place), fiction and Baggins, frodo (fictitious character), fiction and British and irish fiction (fictional works by one author) and Gandalf (fictitious character), fiction and English literature and Translations into French and Children's fiction and Quests (Expeditions) and Wizards and Large type books and Spanish language edition and Roman and Français (langue) and Lectures et morceaux choisis and Bolsón, Frodo (Personaje literario) and Novela and Tierra Media (Lugar imaginario) and Historia de aventuras and Novela fantástica and Literatura inglesa and Novela inglesa and Fiction, media tie-in and Fiction, fantasy, general","Aragorn and Elendil and Dwarves and Frodo Baggins and The Dunedain and Gandalf and Sauron and Pippin and Meriadoc and Umbar and Denethor and Boromir and Faramir and Saruman and Legolas and Gimli and Beregond and Eorl and King Théoden and Gollum and Shelob and Rosie Cotton and Gríma and Bombadil and Shadowfax and Éomer and Merry and Éowyn and Samwise and Arwen and Elrond","Middle Earth (Imaginary place) and Barad-dur and Minas Tirith and Lorien and Erebor and Middle Earth and Edoras and Isengard and Fangorn Forest and Mordor and Gondor and Rohan and Ithilien and Osgiliath and Mount Doom and Rivendell and the Shire and Bree and Bag End","The End of the Third Age"
OL27479W,"The Two Towers","[J.R.R. Tolkien](https://openlibrary.org/authors/OL26320A/J.R.R._Tolkien)",1954,,213,Already Read,,4.35,182,True,"Ents and Orcs and hobbits and magic and Ficción fantástica inglesa and Ficción and translations into Spanish and readers for new literates and The Lord of the Rings and English Fantasy fiction and Open Library Staff Picks and Fiction and Fantasy and Popular Carousel and Middle Earth (Imaginary place) and Tierra Media (Lugar imaginario) and Baggins, Frodo (Personaje literario) and Chinese language materials and Translations into Chinese and English fiction and Frodo Baggins (Fictitious character) and Fantasy fiction and Adventure fiction and Fiction, fantasy, epic and Middle earth (imaginary place), fiction and Baggins, frodo (fictitious character), fiction and Gandalf (fictitious character), fiction and Fantasmes and Roman fantastique and Spanish: Adult Nonfiction and Large type books and Gondolf (Fictitious character) and Epic fiction and FICTION / Fantasy / Epic and Fantastic fiction and Fiction, fantasy, general and Science-fiction anglaise and English Fantastic fiction and Translations into French and French language materials and Terre du Milieu (Lieu imaginaire) and Romans, nouvelles and Hobbits (Fictitious characters) and Hobbits (Personnages fictifs) and Littérature britannique and Fantasy anglaise and Baggins, Frodo (Personaje ficticio) and Novela and Geographical myths and Children's fiction and Baggins, bilbo (fictitious character), fiction and Lord of the rings (Tolkien, J.R.R.)","Gandalf and Frodo Baggins and Aragorn II and Merry and Pippin and Samwise and Boromir and Saruman the White and Uruk-hai and Sauron and Shelob and Legolas and Gimli and Huorns and Gollum and Éomer and Gríma Wormtongue and the Balrog and Treebeard and Rohirrim and Théoden","Middle Earth (Imaginary place) and Tierra Media and River Anduin and Middle Earth and Minas Tirith and Rohan and Fangorn Forrest and Moria and Edoras and Helm's Deep and Isengard and Gondor and Mount Doom and Ithilien and Dead Marshes",""
OL14933414W,"The Fellowship of the Ring","[J.R.R. Tolkien](https://openlibrary.org/authors/OL26320A/J.R.R._Tolkien)",1954,,244,Already Read,,4.33,307,True,"Elves and Dwarves and evil and fear and hope and young adult fiction and Ficción and Ficción fantástica inglesa and Fantastic fiction and The Lord of the Rings and English Fantasy fiction and Open Library Staff Picks and Fiction and Fantasy and Fairy tales and Adventure stories and Fantasy fiction and Middle Earth (Imaginary place) and History and criticism and FICTION / Fantasy / Epic and Adventure fiction and English fiction and Translations in Chinese and Fiction, fantasy, epic and Middle earth (imaginary place), fiction and Baggins, frodo (fictitious character), fiction and Gandalf (fictitious character), fiction and British and irish fiction (fictional works by one author) and Baggins, bilbo (fictitious character), fiction and Fiction, media tie-in and Children's fiction and English literature and Large type books and Roman and Français (langue) and Lectures et morceaux choisis and Vol. 1. and Lord of the rings (Tolkien, J.R.R.) and Gandolf (Fictitious character) and Terre du Milieu (Lieu imaginaire) and Romans, nouvelles and Frodo Baggins (Fictitious character) and Fiction, fantasy, general","Bilbo Baggins and Gandalf the Wizard and Frodo Baggins and Samwise Gamgee and Aragorn (Strider) and Legolas and Gimli and Elrond and Sauron and Black Riders and Tom Bombadil and Boromir and Merry Brandybuck and Celeborn and Galadriel and Elendil and Gandalf","Middle Earth and Mordor and Tierra Media and Bree and Gondor",""
OL16175854W,"Inheritance","[Christopher Paolini](https://openlibrary.org/authors/OL1425963A/Christopher_Paolini)",2010,,7,Already Read,,4.60,5,True,"Fantasy and Dragons and Fiction and Magic and Imaginary places and Juvenile fiction and Fantasy fiction and Young adult fiction and American Fantasy fiction and Children's fiction and Dragons, fiction","Eragon and Saphira","",""
OL5819886W,"Eldest","[Christopher Paolini](https://openlibrary.org/authors/OL1425963A/Christopher_Paolini)",2005,,40,Already Read,,4.07,54,True,"Fantasy and Youths' writings and Dragons and Magic and Fiction and nyt:series_books=2011-06-11 and New York Times bestseller and Young Adult Fiction and Juvenile fiction and Dragons -- Fiction and Fantasy fiction and Action & Adventure and General and Animals and Mythical Creatures and Chang pian xiao shuo and Children's fiction and Dragons, fiction and Imaginary places and Dragones and Teenagers and Traducciones al español and Ficción juvenil and Novela fantástica estadounidense and Adolescentes and Spanish language materials","Eragon and Saphira and Varden and Thorn","Alagaesia and battle field","Dragons"
OL5819884W,"Brisingr","[Christopher Paolini](https://openlibrary.org/authors/OL1425963A/Christopher_Paolini)",1998,,42,Already Read,,3.75,65,True,"Fiction and Juvenile Fiction and New York Times bestseller and nyt:series_books=2011-06-11 and Fantasy and Youths' writings and Dragons and Youth's writings and Dragones and Magic and Magia and Escritos de adolescentes and Ficción juvenil and Novela fantástica and Good and evil and Children's fiction and Fantasy fiction and Dragons, fiction and Dragons -- Fiction and Young Adult Fiction and battles and loyalty and teenage fiction and Vietnamese language","Eragon","",""
OL5819895W,"Eragon","[Christopher Paolini](https://openlibrary.org/authors/OL1425963A/Christopher_Paolini)",1998,,61,Already Read,,3.77,109,True,"Fantasy and Juvenile fiction and Dragons and Magic and Fiction and violence and dwarves and humans and fighting and adventure and war and elves and YOUNG ADULT FICTION and Action & Adventure and Fantasy fiction and American Fantasy fiction and Mythical Creatures and Animals and Epic and Youths' writings and nyt:series-books=2008-10-05 and New York Times bestseller and Heather's Pick and Magia and Adventure and adventurers and nyt:series_books=2011-06-11 and Ficción juvenil and Novela fantástica and Science Fiction, Fantasy, & Magic and Fiction - Science Fiction and Fiction - Fantasy and Spanish: Grades 3-4 and Fantasy - General and Fairy Tales & Folklore - General and Fairy Tales & Folklore - Single Title and Reading Level-Grade 7 and Reading Level-Grade 6 and Reading Level-Grade 9 and Reading Level-Grade 8 and Reading Level-Grade 11 and Reading Level-Grade 10 and Reading Level-Grade 12 and Children's fiction and Dragons, fiction and Spanish language materials and Dragones and Novela juvenil and Adventure and adventurers, fiction and Magic, fiction and Romans, nouvelles, etc. pour la jeunesse and Fantasmes and Young men and Juvenile literature and Roman pour la jeunesse","Eragon","","Fantasy world of Alagaesia (al-uh-GAY-zee-uh)"
OL5735360W,"Catching Fire","[Suzanne Collins](https://openlibrary.org/authors/OL1394359A/Suzanne_Collins)",2009,,81,Already Read,,4.11,214,True,"Action/Adventure and Fantasy and teen fiction and juvenile works and interdependence and independence and Games and Apocalyptic literature and Competition and teenage girls and sisters and poverty and Contests and Insurgency and Open Library Staff Picks and Survival and Fiction and Interpersonal relations and Television programs and Dystopias and Adventures and Adventurers and Television and Courage and Bravery and Heroism and Defiance and Talking Back and Adventure and adventurers and Girls and Blind and Books and reading and Young adult fiction and Television game shows and Dystopian and Science fiction and Survival Stories and Self-Esteem & Self-Reliance and Action & Adventure and JUVENILE FICTION and Social Themes and Survival skills and Reading Level-Grade 9 and Reading Level-Grade 8 and Reading Level-Grade 11 and Reading Level-Grade 10 and Reading Level-Grade 12 and Children's fiction and Interpersonal relations, fiction and Contests, fiction and Television, fiction and Survival, fiction and Reality television programs and Large type books and Katniss Everdeen (Fictitious character) and Spanish language materials and Supervivencia and Novela juvenil and Relaciones humanas and Insurgencia and Programas de televisión and Concursos and Distopías and Spanish language and nyt:chapter-books=2009-09-20 and New York Times bestseller and Novela and Televisión and Programas and Reading materials and Phantastische Erzahlung and Phantastische Literatur and Wilderness survival and Révoltes and Romans, nouvelles, etc. pour la jeunesse and Habiletés de survie and Jeux télévisés and Concours et compétitions and Dystopies and Filles and Fiction, science fiction, general","Katniss Everdeen and Peeta Mellark and Gale Hawthorn and President Snow and Rue and Thresh and Bonnie and Twill and Haymitch and Cinna and Gloss and Enobaria and Brutus and Effie Trinket and Cashmere and the Careers and Johanna Mason and Mags and Beetee and Wiress and Finnick Odair and Peacekeepers","Panem and the Capitol and District 12 and District 8 and District 13 and District 7 and District 1 and District 2 and District 4","In the Future"
OL21685791W,"Hunger Games","[Suzanne Collins](https://openlibrary.org/authors/OL1394359A/Suzanne_Collins)",2010,,6,Already Read,,5.00,1,False,"Littérature américaine and Science-fiction and Jeux","","",""
OL20873102W,"The End We Start From","[Megan Hunter](https://openlibrary.org/authors/OL7489502A/Megan_Hunter)",2017,,7,Already Read,,,,True,"Fiction, dystopian and Mothers and sons, fiction and Mother and child -- Fiction and New mothers -- Fiction and Motherhood -- Fiction and Floods -- Fiction and Survival -- Fiction and Voyages and travels -- Fiction and Mère et enfant -- Romans, nouvelles, etc and Maternité -- Romans, nouvelles, etc and Inondations -- Romans, nouvelles, etc and Habiletés de survie -- Romans, nouvelles, etc and Voyages -- Romans, nouvelles, etc and Floods and Mother and child and Motherhood and New mothers and Survival and Voyages and travels and England -- Fiction and Angleterre -- Romans, nouvelles, etc and England","","",""
OL46347W,"Foundation and Earth","[Isaac Asimov](https://openlibrary.org/authors/OL34221A/Isaac_Asimov)",1986,,45,Already Read,,3.96,57,True,"Fiction and Psychohistory and Life on other planets and Hari Seldon (Fictitious character) and Science fiction and Fiction, science fiction, general and Fiction, general and Seldon, hari (fictitious character), fiction","Golan Trevize and Janov Pelorat and Bliss","Gaia and Comporellon and Aurora and Solaria and Melpomenia and Alpha",""
OL46302W,"Foundation's Edge","[Isaac Asimov](https://openlibrary.org/authors/OL34221A/Isaac_Asimov)",1982,,54,Already Read,,3.99,67,True,"Fiction and Psychohistory and Science fiction and Life on other planets and Hari Seldon (Fictitious character) and Hugo Award Winner and award:hugo_award=1983 and award:hugo_award=novel and American fiction and Fiction, science fiction, general and Large type books and Seldon, hari (fictitious character), fiction","","Trantor and Terminus and Earth",""
